label,gloss,accuracy,support
27,cousin,0.9999999999995,2
29,dark,0.9999999999995,2
22,cold,0.9999999999995,2
88,thin,0.9999999999995,2
72,score,0.9999999999995,2
53,last,0.9999999999995,2
70,room,0.9999999999995,2
55,laugh,0.9999999999995,2
101,year,0.9999999999995,2
74,shirt,0.9999999999995,2
20,cheat,0.9999999999989999,1
3,argue,0.9999999999989999,1
15,brother,0.9999999999989999,1
4,bad,0.9999999999989999,1
7,basketball,0.9999999999989999,1
11,bird,0.9999999999989999,1
102,yes,0.9999999999989999,1
99,work,0.9999999999989999,1
45,go,0.9999999999989999,1
63,no,0.9999999999989999,1
93,walk,0.9999999999989999,1
95,white,0.9999999999989999,1
73,secretary,0.9999999999989999,1
81,study,0.9999999999989999,1
36,drink,0.9999999999989999,1
19,change,0.9999999999989999,1
28,cry,0.9999999999989999,1
23,computer,0.9999999999989999,1
103,yesterday,0.9999999999989999,1
10,before,0.6666666666664445,3
16,call,0.49999999999975,2
26,corn,0.49999999999975,2
2,appointment,0.49999999999975,2
51,interest,0.49999999999975,2
83,take,0.49999999999975,2
76,silly,0.49999999999975,2
82,sweet,0.49999999999975,2
52,language,0.49999999999975,2
49,help,0.49999999999975,2
38,example,0.49999999999975,2
31,deaf,0.49999999999975,2
25,cool,0.49999999999975,2
6,bar,0.33333333333322224,3
17,candy,0.33333333333322224,3
12,black,0.0,0
5,balance,0.0,1
1,apple,0.0,0
0,accident,0.0,2
33,delicious,0.0,1
32,delay,0.0,2
21,check,0.0,1
24,convince,0.0,2
18,champion,0.0,2
8,because,0.0,1
14,bowling,0.0,1
13,blanket,0.0,1
50,hot,0.0,0
47,government,0.0,1
40,far,0.0,2
41,fat,0.0,1
42,fish,0.0,1
37,environment,0.0,1
35,dog,0.0,2
34,doctor,0.0,1
69,ready,0.0,2
68,play,0.0,2
67,pizza,0.0,2
66,perspective,0.0,1
62,move,0.0,2
65,order,0.0,2
60,many,0.0,0
61,mother,0.0,0
56,leave,0.0,1
57,letter,0.0,1
58,like,0.0,2
43,full,0.0,1
46,good,0.0,2
44,give,0.0,2
79,soon,0.0,2
71,sandwich,0.0,1
87,theory,0.0,1
86,thanksgiving,0.0,1
85,tell,0.0,1
84,tall,0.0,1
80,speech,0.0,2
75,short,0.0,1
77,snow,0.0,1
89,thursday,0.0,0
94,what,0.0,3
92,wait,0.0,1
90,toast,0.0,2
91,trade,0.0,1
98,woman,0.0,1
97,why,0.0,0
96,who,0.0,1
100,write,0.0,1
