label,name,support,accuracy
0,accident,2,0.0
1,apple,0,0.0
2,appointment,2,0.0
3,argue,1,0.9999999999989999
4,bad,1,0.0
5,balance,1,0.0
6,bar,3,0.0
7,basketball,1,0.0
8,because,1,0.0
9,bed,0,0.0
10,before,3,0.0
11,bird,1,0.0
12,black,0,0.0
13,blanket,1,0.0
14,bowling,1,0.0
15,brother,1,0.0
16,call,2,0.0
17,candy,3,0.0
18,champion,2,0.0
19,change,1,0.0
20,cheat,1,0.0
21,check,1,0.0
22,cold,2,0.0
23,computer,1,0.0
24,convince,2,0.0
25,cool,2,0.0
26,corn,2,0.0
27,cousin,2,0.0
28,cry,1,0.0
29,dark,2,0.49999999999975
30,daughter,0,0.0
31,deaf,2,0.49999999999975
32,delay,2,0.0
33,delicious,1,0.0
34,doctor,1,0.9999999999989999
35,dog,2,0.0
36,drink,1,0.0
37,environment,1,0.0
38,example,2,0.49999999999975
40,far,2,0.0
41,fat,1,0.0
42,fish,1,0.0
43,full,1,0.0
44,give,2,0.0
45,go,1,0.9999999999989999
46,good,2,0.0
47,government,1,0.0
49,help,2,0.0
51,interest,2,0.49999999999975
52,language,2,0.49999999999975
53,last,2,0.0
55,laugh,2,0.9999999999995
56,leave,1,0.0
57,letter,1,0.0
58,like,2,0.0
59,man,0,0.0
60,many,0,0.0
61,mother,0,0.0
62,move,2,0.49999999999975
63,no,1,0.0
64,orange,0,0.0
65,order,2,0.0
66,perspective,1,0.0
67,pizza,2,0.0
68,play,2,0.0
69,ready,2,0.0
70,room,2,0.0
71,sandwich,1,0.0
72,score,2,0.9999999999995
73,secretary,1,0.0
74,shirt,2,0.49999999999975
75,short,1,0.0
76,silly,2,0.0
77,snow,1,0.0
79,soon,2,0.0
80,speech,2,0.0
81,study,1,0.0
82,sweet,2,0.0
83,take,2,0.0
84,tall,1,0.0
85,tell,1,0.0
86,thanksgiving,1,0.0
87,theory,1,0.0
88,thin,2,0.0
89,thursday,0,0.0
90,toast,2,0.0
91,trade,1,0.0
92,wait,1,0.0
93,walk,1,0.9999999999989999
94,what,3,0.0
95,white,1,0.0
96,who,1,0.0
97,why,0,0.0
98,woman,1,0.0
99,work,1,0.0
100,write,1,0.0
101,year,2,0.0
102,yes,1,0.0
103,yesterday,1,0.0
